iteration,before,after,diff
603,650701592,650701610,18
604,650701813,650701831,18
605,650702035,650702053,18
606,650702259,650702279,20
607,650702483,650702501,18
608,650702704,650702722,18
609,650702925,650702944,19
610,650707200,650707228,28
611,650707464,650707483,19
612,650707689,650707708,19
613,650707911,650707930,19
614,650708136,650708156,20
615,650708359,650708376,17
616,650708580,650708599,19
617,650708803,650708822,19
618,650709025,650709043,18
619,650709245,650709264,19
620,650709466,650709484,18
621,650709689,650709707,18
622,650709908,650709926,18
623,650710127,650710146,19
624,650710348,650710367,19
625,650710569,650710587,18
626,650710789,650710808,19
627,650711010,650711028,18
628,650711230,650711248,18
629,650711450,650711468,18
630,650711672,650711691,19
631,650711895,650711914,19
632,650712119,650712137,18
633,650712339,650712357,18
634,650712559,650712578,19
635,650712780,650712798,18
636,650713000,650713019,19
637,650713220,650713239,19
638,650713441,650713459,18
639,650713660,650713679,19
640,650713880,650713898,18
641,650714100,650714119,19
642,650714320,650714339,19
643,650714541,650714560,19
644,650714760,650714779,19
645,650714982,650715000,18
646,650715203,650715222,19
647,650715427,650715445,18
648,650715648,650715667,19
649,650715868,650715888,20
650,650716090,650716108,18
651,650716312,650716331,19
652,650716533,650716552,19
653,650716753,650716772,19
654,650716973,650716991,18
655,650717196,650717215,19
656,650717416,650717435,19
657,650717635,650717655,20
658,650717856,650717874,18
659,650718078,650718097,19
660,650718298,650718316,18
661,650718519,650718538,19
662,650718739,650718757,18
663,650718960,650718979,19
664,650719180,650719198,18
665,650719399,650719417,18
666,650719619,650719638,19
667,650719840,650719859,19
668,650720062,650720080,18
669,650720280,650720299,19
670,650720500,650720518,18
671,650720720,650720738,18
672,650720940,650720958,18
673,650721160,650721178,18
674,650721380,650721398,18
675,650721600,650721620,20
676,650721819,650721839,20
677,650722039,650722057,18
678,650722260,650722278,18
679,650722481,650722500,19
680,650722718,650722737,19
681,650722941,650722958,17
682,650723160,650723178,18
683,650723380,650723399,19
684,650723601,650723620,19
685,650723822,650723840,18
686,650724042,650724060,18
687,650724262,650724281,19
688,650724482,650724500,18
689,650724704,650724723,19
690,650724925,650724943,18
691,650725144,650725162,18
692,650725364,650725382,18
693,650725584,650725601,17
694,650725805,650725824,19
695,650726025,650726044,19
696,650726246,650726265,19
697,650726468,650726486,18
698,650726688,650726706,18
699,650726911,650726928,17
700,650727130,650727148,18
701,650727350,650727368,18
702,650727570,650727588,18
703,650727793,650727811,18
704,650728014,650728033,19
705,650728233,650728252,19
706,650728456,650728473,17
707,650728677,650728695,18
708,650728897,650728915,18
709,650729117,650729136,19
710,650729337,650729356,19
711,650729558,650729576,18
712,650729777,650729796,19
713,650730000,650730018,18
714,650730220,650730238,18
715,650730441,650730459,18
716,650730661,650730680,19
717,650730881,650730899,18
718,650731103,650731121,18
719,650731324,650731342,18
720,650731545,650731562,17
