iteration,before,after,diff
379,583438647,583439706,1059
380,583439923,583440979,1056
381,583441197,583442257,1060
382,583442473,583443534,1061
383,583443751,583444805,1054
384,583445020,583446080,1060
385,583446299,583447353,1054
386,583447569,583448620,1051
387,583448837,583449901,1064
388,583450116,583451174,1058
389,583451390,583452443,1053
390,583452659,583453713,1054
391,583453930,583454985,1055
392,583455202,583456258,1056
393,583456475,583457530,1055
394,583457749,583458806,1057
395,583459022,583460077,1055
396,583460296,583461352,1056
397,583461571,583462628,1057
398,583462845,583463900,1055
399,583464116,583465180,1064
400,583465398,583466460,1062
401,583466677,583467739,1062
402,583467956,583469015,1059
403,583469232,583470292,1060
404,583470524,583471582,1058
405,583471800,583472860,1060
406,583473075,583474138,1063
407,583474355,583475417,1062
408,583475633,583476688,1055
409,583476904,583477962,1058
410,583478181,583479239,1058
411,583479456,583480517,1061
412,583480734,583481789,1055
413,583482004,583483066,1062
414,583483282,583484336,1054
415,583484552,583485608,1056
416,583485825,583486881,1056
417,583487098,583488159,1061
418,583488375,583489438,1063
419,583489655,583490710,1055
420,583490928,583491984,1056
421,583492203,583493260,1057
422,583493477,583494532,1055
423,583494749,583495811,1062
424,583496030,583497104,1074
425,583497321,583498378,1057
426,583498595,583499653,1058
427,583504698,583505783,1085
428,583506054,583507111,1057
429,583507334,583508390,1056
430,583508606,583509671,1065
431,583509887,583510943,1056
432,583511163,583512222,1059
433,583512438,583513496,1058
434,583513714,583514766,1052
435,583514983,583516037,1054
436,583516255,583517308,1053
437,583517527,583518587,1060
438,583518805,583519859,1054
439,583520077,583521138,1061
440,583521356,583522412,1056
441,583522630,583523692,1062
442,583523908,583524969,1061
443,583525186,583526250,1064
444,583526467,583527528,1061
445,583527744,583528805,1061
446,583529022,583530081,1059
447,583530299,583531357,1058
448,583531575,583532634,1059
449,583532853,583533916,1063
450,583534133,583535189,1056
451,583535406,583536470,1064
452,583536687,583537744,1057
453,583537961,583539015,1054
454,583539232,583540292,1060
455,583540508,583541567,1059
456,583541783,583542839,1056
457,583543056,583544110,1054
458,583544325,583545381,1056
459,583545598,583546651,1053
460,583546866,583547924,1058
461,583548140,583549196,1056
462,583549413,583550465,1052
463,583550682,583551739,1057
464,583551955,583553014,1059
465,583553230,583554286,1056
466,583554501,583555565,1064
467,583555782,583556839,1057
468,583557058,583558120,1062
469,583558337,583559401,1064
470,583559617,583560675,1058
471,583560892,583561955,1063
472,583562172,583563243,1071
473,583563460,583564517,1057
474,583564738,583565800,1062
475,583566017,583567079,1062
476,583567296,583568354,1058
477,583568570,583569630,1060
478,583569846,583570907,1061
479,583571123,583572180,1057
480,583572397,583573459,1062
481,583573674,583574730,1056
482,583574947,583576006,1059
483,583576221,583577280,1059
484,583577496,583578549,1053
485,583578763,583579828,1065
486,583580045,583581102,1057
487,583581316,583582373,1057
488,583582590,583583647,1057
489,583583863,583584924,1061
490,583585142,583586201,1059
491,583586418,583587487,1069
492,583587703,583588763,1060
493,583588979,583590035,1056
494,583590252,583591315,1063
495,583591531,583592592,1061
496,583592810,583593869,1059
497,583594085,583595148,1063
498,583595367,583596428,1061
499,583596645,583597704,1059
500,583597921,583598980,1059
501,583599196,583600251,1055
502,583600468,583601524,1056
503,583601740,583602799,1059
504,583603015,583604073,1058
505,583604289,583605349,1060
506,583605568,583606629,1061
507,583606844,583607902,1058
508,583608118,583609174,1056
509,583609389,583610441,1052
510,583610658,583611714,1056
511,583611931,583612988,1057
512,583613205,583614269,1064
513,583614483,583615543,1060
514,583615761,583616822,1061
515,583617037,583618097,1060
516,583618313,583619374,1061
517,583619589,583620647,1058
518,583620863,583621921,1058
519,583622137,583623197,1060
520,583623415,583624474,1059
521,583624691,583625754,1063
522,583625972,583627034,1062
523,583627249,583628309,1060
524,583628526,583629589,1063
525,583629804,583630860,1056
526,583631077,583632134,1057
527,583632349,583633408,1059
528,583633626,583634682,1056
529,583634898,583635961,1063
530,583636179,583637238,1059
531,583637454,583638511,1057
532,583638726,583639787,1061
533,583640002,583641056,1054
534,583641272,583642327,1055
535,583642542,583643601,1059
536,583643817,583644874,1057
537,583645089,583646152,1063
538,583646370,583647432,1062
539,583647648,583648707,1059
540,583648923,583649982,1059
541,583650196,583651253,1057
542,583651471,583652527,1056
543,583652743,583653805,1062
544,583654023,583655082,1059
545,583655316,583656379,1063
546,583656598,583657659,1061
547,583657876,583658937,1061
548,583659154,583660214,1060
549,583660431,583661489,1058
550,583661705,583662763,1058
551,583662979,583664038,1059
552,583664256,583665319,1063
553,583665535,583666598,1063
554,583666815,583667872,1057
555,583668087,583669145,1058
556,583669363,583670422,1059
557,583670638,583671693,1055
558,583671909,583672965,1056
559,583673180,583674239,1059
560,583674456,583675512,1056
561,583675726,583676788,1062
562,583677007,583678065,1058
563,583678283,583679405,1122
564,583679621,583680679,1058
565,583680894,583681951,1057
566,583682167,583683227,1060
567,583683442,583684501,1059
568,583689323,583690411,1088
569,583690662,583691721,1059
570,583691947,583693011,1064
571,583693228,583694293,1065
572,583694512,583695570,1058
573,583695789,583696847,1058
574,583697067,583698126,1059
575,583698344,583699404,1060
576,583699621,583700679,1058
577,583700895,583701957,1062
578,583702173,583703228,1055
579,583703446,583704502,1056
580,583704716,583705770,1054
581,583705985,583707046,1061
582,583707261,583708318,1057
583,583708533,583709588,1055
584,583709805,583710866,1061
585,583711082,583712140,1058
586,583712356,583713413,1057
587,583713630,583714687,1057
588,583714902,583715963,1061
589,583716179,583717238,1059
590,583717454,583718518,1064
591,583718733,583719794,1061
592,583720010,583721076,1066
593,583721293,583722351,1058
594,583722567,583723629,1062
595,583723847,583724907,1060
596,583725123,583726179,1056
597,583726399,583727462,1063
598,583727678,583728740,1062
599,583728956,583730015,1059
600,583730232,583731289,1057
601,583731506,583732568,1062
602,583732785,583733840,1055
603,583734057,583735116,1059
604,583735331,583736393,1062
605,583736608,583737661,1053
606,583737879,583738938,1059
607,583739157,583740211,1054
608,583740428,583741487,1059
609,583741702,583742758,1056
610,583742976,583744033,1057
611,583744249,583745311,1062
612,583745526,583746582,1056
613,583746799,583747858,1059
614,583748076,583749143,1067
615,583749363,583750418,1055
616,583750636,583751696,1060
617,583751913,583752971,1058
618,583753188,583754249,1061
619,583754465,583755528,1063
620,583755747,583756810,1063
621,583757028,583758086,1058
622,583758302,583759363,1061
623,583759579,583760636,1057
624,583760853,583761909,1056
625,583762126,583763186,1060
626,583763402,583764460,1058
627,583764675,583765734,1059
628,583765952,583767008,1056
629,583767223,583768284,1061
630,583768499,583769558,1059
631,583769775,583770833,1058
632,583771049,583772108,1059
633,583772324,583773379,1055
634,583773595,583774651,1056
635,583774868,583775927,1059
636,583776145,583777201,1056
637,583777416,583778476,1060
638,583778692,583779752,1060
639,583779967,583781023,1056
640,583781239,583782298,1059
641,583782515,583783575,1060
642,583783791,583784851,1060
643,583785068,583786133,1065
644,583786350,583787414,1064
645,583787631,583788688,1057
646,583788905,583789965,1060
647,583790181,583791237,1056
648,583791453,583792511,1058
649,583792729,583793787,1058
650,583794003,583795061,1058
651,583795276,583796337,1061
652,583796555,583797614,1059
653,583797830,583798888,1058
654,583799103,583800163,1060
655,583800379,583801433,1054
656,583801649,583802708,1059
657,583802925,583803978,1053
658,583804194,583805250,1056
659,583805466,583806529,1063
660,583806745,583807804,1059
661,583808021,583809074,1053
662,583809291,583810354,1063
663,583810573,583811629,1056
664,583811847,583812910,1063
665,583813126,583814186,1060
666,583814405,583815465,1060
667,583815681,583816741,1060
668,583816959,583818021,1062
669,583818238,583819299,1061
670,583819516,583820579,1063
671,583820797,583821855,1058
672,583822070,583823132,1062
673,583823350,583824408,1058
674,583824625,583825683,1058
675,583825902,583826963,1061
676,583827178,583828239,1061
677,583828456,583829509,1053
678,583829725,583830783,1058
679,583831001,583832056,1055
680,583832272,583833333,1061
681,583833549,583834604,1055
682,583834821,583835877,1056
683,583836092,583837152,1060
684,583837369,583838429,1060
685,583838645,583839703,1058
686,583839919,583840981,1062
687,583841198,583842256,1058
688,583842475,583843536,1061
689,583843753,583844815,1062
690,583845032,583846091,1059
691,583846307,583847371,1064
692,583847586,583848650,1064
693,583848865,583849928,1063
694,583850144,583851204,1060
695,583851421,583852478,1057
696,583852695,583853753,1058
697,583853972,583855034,1062
698,583855254,583856316,1062
699,583856532,583857594,1062
700,583857810,583858866,1056
701,583859083,583860137,1054
702,583860354,583861413,1059
703,583861629,583862685,1056
704,583862902,583863960,1058
705,583864176,583865229,1053
706,583865447,583866504,1057
707,583866719,583867775,1056
708,583867991,583869050,1059
709,583869266,583870322,1056
710,583876592,583877677,1085
711,583877920,583878983,1063
712,583879205,583880267,1062
713,583880490,583881550,1060
714,583881770,583882836,1066
715,583883056,583884117,1061
716,583884337,583885399,1062
717,583885622,583886686,1064
718,583886905,583887968,1063
719,583888189,583889246,1057
720,583889466,583890527,1061
721,583890746,583891808,1062
722,583892027,583893086,1059
723,583893306,583894368,1062
724,583894590,583895648,1058
725,583895865,583896926,1061
726,583897144,583898198,1054
727,583898414,583899470,1056
728,583899687,583900747,1060
729,583900964,583902031,1067
730,583902248,583903310,1062
731,583903526,583904586,1060
732,583904802,583905859,1057
733,583906076,583907136,1060
734,583907352,583908415,1063
735,583908632,583909689,1057
736,583909905,583910967,1062
737,583911338,583912399,1061
738,583912616,583913678,1062
739,583913894,583914952,1058
740,583915170,583916231,1061
741,583916447,583917505,1058
742,583917722,583918784,1062
743,583919000,583920058,1058
744,583920274,583921335,1061
745,583921551,583922610,1059
746,583922827,583923884,1057
747,583924100,583925160,1060
748,583925375,583926433,1058
749,583926650,583927703,1053
750,583927919,583928973,1054
751,583929189,583930242,1053
752,583930460,583931518,1058
753,583931734,583932788,1054
754,583933005,583934060,1055
755,583934276,583935330,1054
756,583935548,583936605,1057
757,583936822,583937887,1065
758,583938104,583939166,1062
759,583939382,583940439,1057
760,583940654,583941712,1058
761,583941927,583942987,1060
762,583943204,583944265,1061
763,583944482,583945545,1063
764,583945761,583946823,1062
765,583947039,583948099,1060
766,583948315,583949379,1064
767,583949596,583950661,1065
768,583950879,583951941,1062
769,583952158,583953222,1064
770,583953438,583954495,1057
771,583954711,583955771,1060
772,583955987,583957044,1057
773,583957261,583958320,1059
774,583958537,583959599,1062
775,583959813,583960868,1055
776,583961084,583962142,1058
777,583962357,583963418,1061
778,583963635,583964690,1055
779,583964906,583965967,1061
780,583966183,583967243,1060
781,583967460,583968586,1126
782,583968802,583969861,1059
783,583970077,583971141,1064
784,583971358,583972425,1067
785,583972641,583973703,1062
786,583973919,583974987,1068
787,583975203,583976261,1058
788,583976477,583977537,1060
789,583977753,583978825,1072
790,583979042,583980103,1061
791,583980320,583981386,1066
792,583981602,583982661,1059
793,583982877,583983940,1063
794,583984156,583985220,1064
795,583985436,583986498,1062
796,583986715,583987776,1061
797,584054525,584056080,1555
798,584056573,584057631,1058
799,584057852,584058910,1058
800,584059125,584060180,1055
801,584060395,584061451,1056
802,584061667,584062725,1058
803,584062944,584064002,1058
804,584064219,584065281,1062
805,584065498,584066557,1059
806,584066773,584067836,1063
807,584068054,584069112,1058
808,584069331,584070393,1062
809,584070612,584071673,1061
810,584071891,584072953,1062
811,584073170,584074235,1065
812,584074452,584075518,1066
813,584075734,584076798,1064
814,584077013,584078071,1058
815,584078286,584079345,1059
816,584079560,584080620,1060
817,584080837,584081895,1058
818,584082113,584083169,1056
819,584083388,584084443,1055
820,584084660,584085717,1057
821,584085935,584086991,1056
822,584087207,584088267,1060
823,584088483,584089539,1056
824,584089753,584090813,1060
825,584091030,584092091,1061
826,584092306,584093366,1060
827,584093582,584094642,1060
828,584094943,584096001,1058
829,584096218,584097274,1056
830,584097492,584098553,1061
831,584098770,584099825,1055
832,584100044,584101108,1064
833,584101324,584102387,1063
834,584102604,584103666,1062
835,584103884,584104947,1063
836,584105166,584106234,1068
837,584106451,584107516,1065
838,584107735,584108792,1057
839,584109013,584110077,1064
840,584110292,584111356,1064
841,584111580,584112637,1057
842,584112855,584113910,1055
843,584114126,584115186,1060
844,584115404,584116461,1057
845,584116677,584117736,1059
846,584117952,584119015,1063
847,584119230,584120288,1058
