iteration,before,after,diff
457,577607707,577607740,33, 0
458,577607977,577608011,34, 0
459,577608249,577608282,33, 0
460,577608518,577608551,33, 0
461,577608789,577608822,33, 0
462,577609060,577609093,33, 0
463,577609330,577609363,33, 0
464,577609599,577609633,34, 0
465,577609870,577609903,33, 0
466,577610159,577610191,32, 0
467,577610428,577610459,31, 0
468,577610698,577610731,33, 0
469,577610967,577610999,32, 0
470,577611235,577611269,34, 0
471,577611504,577611537,33, 0
472,577611773,577611805,32, 0
473,577612043,577612075,32, 0
474,577612311,577612344,33, 0
475,577612581,577612613,32, 0
476,577612850,577612881,31, 0
477,577613121,577613152,31, 0
478,577613390,577613423,33, 0
479,577613660,577613693,33, 0
480,577613929,577613962,33, 0
481,577614198,577614231,33, 0
482,577614467,577614500,33, 0
483,577614736,577614769,33, 0
484,577615005,577615037,32, 0
485,577615274,577615307,33, 0
486,577615544,577615577,33, 0
487,577615814,577615847,33, 0
488,577616083,577616115,32, 0
489,577616352,577616384,32, 0
490,577616622,577616655,33, 0
491,577616893,577616926,33, 0
492,577617160,577617193,33, 0
493,577617430,577617463,33, 0
494,577617701,577617733,32, 0
495,577617971,577618003,32, 0
496,577618239,577618272,33, 0
497,577618508,577618540,32, 0
498,577618780,577618812,32, 0
499,577619047,577619080,33, 0
500,577619316,577619349,33, 0
501,577619584,577619617,33, 0
502,577619853,577619886,33, 0
503,577620121,577620154,33, 0
504,577620391,577620423,32, 0
505,577620662,577620695,33, 0
506,577620932,577620965,33, 0
507,577621200,577621233,33, 0
508,577621469,577621503,34, 0
509,577621756,577621789,33, 0
510,577622024,577622057,33, 0
511,577622294,577622326,32, 0
512,577622561,577622594,33, 0
513,577622830,577622862,32, 0
514,577623099,577623131,32, 0
515,577623367,577623399,32, 0
516,577623635,577623666,31, 0
517,577623902,577623935,33, 0
518,577624171,577624202,31, 0
519,577624438,577624470,32, 0
520,577624706,577624739,33, 0
521,577624974,577625007,33, 0
522,577625244,577625275,31, 0
523,577625514,577625545,31, 0
524,577625781,577625814,33, 0
525,577626051,577626084,33, 0
526,577626322,577626353,31, 0
527,577626589,577626622,33, 0
528,577626859,577626891,32, 0
529,577627127,577627160,33, 0
530,577627397,577627430,33, 0
531,577627667,577627700,33, 0
532,577627936,577627968,32, 0
533,577628204,577628236,32, 0
534,577628472,577628503,31, 0
535,577628739,577628772,33, 0
536,577629050,577629082,32, 0
537,577629320,577629352,32, 0
538,577629590,577629624,34, 0
539,577629860,577629893,33, 0
540,577630131,577630163,32, 0
541,577630399,577630432,33, 0
542,577630668,577630700,32, 0
543,577630938,577630971,33, 0
544,577631207,577631240,33, 0
545,577631478,577631510,32, 0
546,577631746,577631779,33, 0
547,577632014,577632047,33, 0
548,577632283,577632315,32, 0
549,577637072,577637111,39, 0
550,577637386,577637417,31, 0
551,577637663,577637694,31, 0
552,577637933,577637964,31, 0
553,577638201,577638232,31, 0
554,577638477,577638509,32, 0
555,577638753,577638786,33, 0
556,577639023,577639056,33, 0
557,577639293,577639326,33, 0
558,577639563,577639595,32, 0
559,577639834,577639867,33, 0
560,577640107,577640141,34, 0
561,577640378,577640410,32, 0
562,577640649,577640682,33, 0
563,577640920,577640953,33, 0
564,577641189,577641222,33, 0
565,577641460,577641493,33, 0
566,577641732,577641765,33, 0
567,577642003,577642035,32, 0
568,577642272,577642305,33, 0
569,577642542,577642574,32, 0
570,577642812,577642845,33, 0
571,577643081,577643115,34, 0
572,577643352,577643385,33, 0
573,577643621,577643653,32, 0
574,577643890,577643922,32, 0
575,577644159,577644190,31, 0
576,577644429,577644461,32, 0
577,577644698,577644731,33, 0
578,577644966,577645000,34, 0
579,577645235,577645268,33, 0
580,577645506,577645538,32, 0
581,577645775,577645808,33, 0
582,577646045,577646079,34, 0
583,577646317,577646350,33, 0
584,577646587,577646620,33, 0
585,577646856,577646890,34, 0
586,577647126,577647158,32, 0
587,577647395,577647428,33, 0
588,577647664,577647697,33, 0
589,577647932,577647965,33, 0
590,577648204,577648235,31, 0
591,577648472,577648505,33, 0
592,577648744,577648776,32, 0
593,577649013,577649045,32, 0
594,577649283,577649316,33, 0
595,577649569,577649602,33, 0
596,577649837,577649871,34, 0
597,577650109,577650142,33, 0
598,577650378,577650412,34, 0
599,577650648,577650682,34, 0
600,577650919,577650952,33, 0
601,577651188,577651220,32, 0
602,577651456,577651489,33, 0
603,577651726,577651757,31, 0
604,577651994,577652027,33, 0
605,577652263,577652296,33, 0
606,577652533,577652564,31, 0
607,577652801,577652835,34, 0
608,577653069,577653102,33, 0
609,577653338,577653371,33, 0
610,577653607,577653639,32, 0
611,577653877,577653910,33, 0
612,577654146,577654179,33, 0
613,577654415,577654447,32, 0
614,577654685,577654718,33, 0
615,577654955,577654987,32, 0
616,577655225,577655258,33, 0
617,577655494,577655526,32, 0
618,577655764,577655797,33, 0
619,577656033,577656065,32, 0
620,577656302,577656333,31, 0
621,577656571,577656603,32, 0
622,577656838,577656872,34, 0
623,577657106,577657139,33, 0
624,577657374,577657406,32, 0
625,577657642,577657673,31, 0
626,577657908,577657942,34, 0
627,577658176,577658209,33, 0
628,577658445,577658479,34, 0
629,577658714,577658747,33, 0
630,577658984,577659017,33, 0
631,577659253,577659286,33, 0
632,577659522,577659554,32, 0
633,577659789,577659822,33, 0
634,577660059,577660091,32, 0
635,577660328,577660361,33, 0
636,577660596,577660629,33, 0
637,577660865,577660898,33, 0
638,577661135,577661169,34, 0
639,577661406,577661439,33, 0
640,577661691,577661723,32, 0
641,577661960,577661992,32, 0
642,577662228,577662260,32, 0
643,577662497,577662530,33, 0
644,577662765,577662799,34, 0
645,577663035,577663067,32, 0
646,577663304,577663336,32, 0
647,577663576,577663608,32, 0
648,577663845,577663878,33, 0
649,577664114,577664147,33, 0
650,577664384,577664417,33, 0
651,577664656,577664689,33, 0
652,577664926,577664958,32, 0
653,577665195,577665228,33, 0
654,577665465,577665498,33, 0
655,577665734,577665767,33, 0
656,577666005,577666038,33, 0
657,577666274,577666306,32, 0
658,577666543,577666574,31, 0
659,577666811,577666843,32, 0
660,577667079,577667112,33, 0
661,577667349,577667380,31, 0
662,577667616,577667649,33, 0
663,577667885,577667917,32, 0
664,577668155,577668187,32, 0
665,577668427,577668459,32, 0
666,577668696,577668729,33, 0
667,577668966,577669000,34, 0
668,577669236,577669270,34, 0
669,577669506,577669539,33, 0
670,577669774,577669807,33, 0
671,577670045,577670078,33, 0
672,577670333,577670366,33, 0
673,577670622,577670655,33, 0
674,577670909,577670942,33, 0
675,577671180,577671213,33, 0
676,577671450,577671484,34, 0
677,577671720,577671753,33, 0
678,577671991,577672024,33, 0
679,577672260,577672293,33, 0
680,577672530,577672562,32, 0
681,577672801,577672834,33, 0
682,577673071,577673103,32, 0
683,577673340,577673371,31, 0
684,577673609,577673642,33, 0
685,577673878,577673910,32, 0
686,577678539,577678578,39, 0
687,577678825,577678858,33, 0
688,577679095,577679126,31, 0
689,577679363,577679394,31, 0
690,577679631,577679662,31, 0
691,577679903,577679935,32, 0
692,577680172,577680205,33, 0
693,577680441,577680474,33, 0
694,577680710,577680742,32, 0
695,577680979,577681012,33, 0
696,577681248,577681281,33, 0
697,577681519,577681551,32, 0
698,577681787,577681819,32, 0
699,577682057,577682089,32, 0
700,577682326,577682359,33, 0
701,577682597,577682629,32, 0
702,577682865,577682898,33, 0
703,577683134,577683167,33, 0
704,577683403,577683435,32, 0
705,577683674,577683705,31, 0
706,577683944,577683977,33, 0
707,577684214,577684246,32, 0
708,577684482,577684515,33, 0
709,577684751,577684784,33, 0
710,577685020,577685053,33, 0
711,577685290,577685323,33, 0
712,577685560,577685591,31, 0
713,577685827,577685859,32, 0
714,577686096,577686128,32, 0
715,577686364,577686396,32, 0
716,577686633,577686666,33, 0
717,577686902,577686935,33, 0
718,577687172,577687204,32, 0
719,577687440,577687473,33, 0
720,577687708,577687741,33, 0
721,577687976,577688010,34, 0
722,577688247,577688280,33, 0
723,577688516,577688548,32, 0
724,577688785,577688818,33, 0
725,577689053,577689087,34, 0
726,577689322,577689355,33, 0
727,577689591,577689622,31, 0
728,577689861,577689893,32, 0
729,577690129,577690162,33, 0
730,577690400,577690433,33, 0
731,577690668,577690701,33, 0
732,577690939,577690972,33, 0
733,577691207,577691240,33, 0
734,577691476,577691508,32, 0
735,577691745,577691778,33, 0
736,577692015,577692047,32, 0
737,577692285,577692316,31, 0
738,577692553,577692586,33, 0
739,577692843,577692875,32, 0
740,577693113,577693145,32, 0
741,577693382,577693415,33, 0
742,577693651,577693684,33, 0
743,577693921,577693955,34, 0
744,577694192,577694223,31, 0
745,577694460,577694492,32, 0
746,577694727,577694760,33, 0
